Z000000000	-0.155	-0.100	0.140	-0.140	0.060	0.17	0.025	-0.395	-0.035
Z100000000	0.410	0.000	0.050	0.110	0.000	0.02	0.000	0.000	0.000
Z010000000	0.000	0.560	0.000	0.000	0.160	-0.06	0.000	0.000	0.000
Z001000000	0.000	0.060	0.705	0.000	0.000	0.30	0.000	0.000	0.000
Z000100000	0.420	-0.105	-0.060	0.555	-0.150	0.04	0.110	0.150	0.020
Z000010000	-0.020	0.440	0.000	0.000	0.685	0.00	0.000	-0.110	0.000
Z000001000	-0.100	0.000	0.290	-0.120	0.000	0.64	0.000	0.000	0.000
Z000000100	0.030	0.040	0.000	0.000	0.030	0.00	0.610	-0.115	0.030
Z000000010	0.060	0.000	0.000	0.050	-0.015	0.00	0.000	0.660	-0.050
Z000000001	0.000	0.000	0.000	0.000	0.000	0.00	-0.010	0.070	0.745
Z100100000	0.050	0.000	0.000	0.000	0.010	0.00	0.030	0.000	0.000
Z100000010	0.030	0.000	0.000	0.000	0.000	0.00	0.000	0.000	0.000
Z010010000	0.000	-0.050	0.000	0.000	0.000	0.00	0.000	0.000	0.000
Z001001000	0.000	0.000	-0.060	0.000	0.000	0.00	0.000	0.000	0.000
Z000100100	0.120	0.010	0.000	0.110	0.020	0.00	0.040	0.030	0.000
Z000100010	-0.050	0.000	0.000	-0.050	0.000	0.00	0.000	0.030	0.000
Z000010100	-0.050	0.000	0.000	-0.020	0.000	0.00	-0.030	0.000	0.000
Z000010010	0.000	0.000	0.000	0.000	0.000	0.00	0.000	-0.050	0.000
Z100100100	0.030	0.000	0.000	0.020	0.000	0.00	0.000	0.000	0.000
Z100100010	-0.020	0.000	0.000	0.000	0.000	0.00	0.000	0.000	0.000
